,Name,Price,PageURL
0,THE FALL OF A TITAN ~ Igor Gouzenko ~ First Edition 1954 ~ Signed By Author ,175.00,https://www.ebay.ca/itm/THE-FALL-OF-A-TITAN-Igor-Gouzenko-First-Edition-1954-Signed-By-Author/202797281412?hash=item2f37a8f084:g:Xs0AAOSwkYxdX1Y~
1,The New Illustrated Medical Encyclopedia for Home Use  1967 (4 Vol.+ Slipcase),80.00,https://www.ebay.ca/itm/The-New-Illustrated-Medical-Encyclopedia-for-Home-Use-1967-4-Vol-Slipcase/123935667820?hash=item1cdb24366c:g:-ygAAOSwbURZtZcp
2,The Oxford Dictionary of Quotations Oxford University Press 2nd Ed. 1st Ptg 1955,30.00,https://www.ebay.ca/itm/The-Oxford-Dictionary-of-Quotations-Oxford-University-Press-2nd-Ed-1st-Ptg-1955/123935836459?hash=item1cdb26c92b:g:Bu0AAOSw-YVXk~Fc
3,RARE SIGNED MARIAN KEITH ~ THE GRAND LADY ~ 1st Ed ~ CANADIAN LIT. ~ EX COND,99.99,https://www.ebay.ca/itm/RARE-SIGNED-MARIAN-KEITH-THE-GRAND-LADY-1st-Ed-CANADIAN-LIT-EX-COND/143407875503?hash=item2163c685af:g:RgAAAOSwPHZdbqzx
4,First Edition Toto and the Goats Tales From Ceylon c.1953 Good Luck Series Book,27.00,https://www.ebay.ca/itm/First-Edition-Toto-and-the-Goats-Tales-From-Ceylon-c-1953-Good-Luck-Series-Book/123936381101?hash=item1cdb2f18ad:g:k6AAAOSwTGVbzNvx
5,Vintage 60s. Britannica Perspectives 1768-1968 (Hardcover 3 Volumes)  Coll.,90.00,https://www.ebay.ca/itm/Vintage-60s-Britannica-Perspectives-1768-1968-Hardcover-3-Volumes-Coll/123935668468?hash=item1cdb2438f4:g:wDwAAOSwBLlVRBlm
6,Webster's Third New International Dictionary & Seven Language Dictionary (3 Vol.,66.00,https://www.ebay.ca/itm/Websters-Third-New-International-Dictionary-Seven-Language-Dictionary-3-Vol/123935844108?hash=item1cdb26e70c:g:ZisAAOSwDk5UDMD1
7,The Works of Thomas Hood - COMPLETE - 1862,313.57,https://www.ebay.ca/itm/The-Works-of-Thomas-Hood-COMPLETE-1862/113920861932?hash=item1a863666ec:g:ZE8AAOSw~WxdoL6e
8,The Story of Colt's Revolvers Book By William B. Edwards,46.50,https://www.ebay.ca/itm/The-Story-of-Colts-Revolvers-Book-By-William-B-Edwards/143408740467?hash=item2163d3b873:g:1hEAAOSwzY5doK2r
9,"SIGNED John Gardner, NO DEALS, MR. BOND. First UK edition, 1st printing, 1987.",657.71,https://www.ebay.ca/itm/SIGNED-John-Gardner-NO-DEALS-MR-BOND-First-UK-edition-1st-printing-1987/133200041764?hash=item1f03575724:g:n1YAAOSwzvhdoMpu
10,The Concise Encyclopedia of Continental Pottery and Porcelain by Haggar 2vol,93.01,https://www.ebay.ca/itm/The-Concise-Encyclopedia-of-Continental-Pottery-and-Porcelain-by-Haggar-2vol/123936375592?epid=8009855753&hash=item1cdb2f0328:g:ufwAAOSwZGBdoJ8o
11,Easton Press The Analects Of Confucius New Sealed,53.13,https://www.ebay.ca/itm/Easton-Press-The-Analects-Of-Confucius-New-Sealed/193151283885?hash=item2cf8b6b2ad:g:l7wAAOSwoJhdn2xR
